prompt,source,category
Tom wants to make the world's largest dough ball.  He needs 500 pounds of flour and he can buy 50-pound bags of flour for $20.  He also needs 10 pounds of salt and salt cost $.2 a pound.  He also spends $1000 promoting everything.  He then sells tickets for $20 each and sells 500 tickets.  How much money did he make?,gsm8k,math
"Can you paraphrase the text material to make it easier to understand for someone who is new to the Christian faith?
Generate according to: Jesus, how my soul rejoices in Your presence!
My hope increases since Your goodness shines.
Jesus, in every trial my hands You do hold!
By faith I walk without fear, I praise Your name.
My grief is no more, Your Word is my strength.
Jesus, how You embrace me when I’m alone!
With Your amazing grace You sustain my life.
This world belongs to You, O my Good Father!
Your faithfulness colors my heart day by day.",ultrachat,chat
Can you suggest a body lotion brand that is suitable for dry skin?,ultrachat,chat
"Today, William went to the bakery. Between what times could they have gone?
We know that:
William woke up at 6am.
David saw William waiting at the airport from 8am to 9am.
Michael saw William attending class at the school from 9am to 1pm.
Sarah saw William working out at the gym from 1pm to 2pm.
Jessica saw William taking photos near the Eiffel Tower from 2pm to 9pm.
The bakery was closed after 9pm.
Between what times could William have gone to the bakery?
Options:
(A) 1pm to 2pm
(B) 8am to 9am
(C) 9am to 1pm
(D) 6am to 8am",bbh,reasoning
Write a function to find the longest chain which can be formed from the given set of pairs.,mbpp,coding
"Tony wants to build the longest rope he possibly can, so he collects all the rope in his home. He finds an 8-foot rope, a 20-foot rope, three 2 foot ropes, and a 7-foot rope. each knot between the ropes makes him lose 1.2 foot per knot. How long is his rope when he's done tying them all together?",gsm8k,math
"For every 12 cans you recycle, you receive $0.50, and for every 5 kilograms of newspapers, you receive $1.50. If your family collected 144 cans and 20 kilograms of newspapers, how much money would you receive?",gsm8k,math
Write a python function to calculate the sum of the numbers in a list between the indices of a specified range.,mbpp,coding
Write a function to calculate the sum of series 1³+2³+3³+….+n³.,mbpp,coding
"Jana is 5 inches taller than Kelly, and Kelly is 3 inches shorter than Jess. If Jess is 72 inches tall, how tall is Jana?",gsm8k,math
"
def starts_one_ends(n):
    """"""
    Given a positive integer n, return the count of the numbers of n-digit
    positive integers that start or end with 1.
    """"""
",humaneval,coding
Write a python function to find sum of odd factors of a number.,mbpp,coding
"Carolyn wants to embroider her new jeans. She can sew 4 stitches/minute. A flower takes 60 stitches to embroider, a unicorn takes 180 stitches, and Godzilla takes 800 stitches. If Carolyn wants to embroider Godzilla crushing 3 unicorns and 50 flowers, how many minutes does she need to spend embroidering?",gsm8k,math
"Use Flask to create a responsive web application that allows users to easily make and manage their online appointments with healthcare providers. The web application should have an intuitive user interface that enables users to search for healthcare providers according to their specialty, view their availability, and choose a convenient date and time for their appointment. Additionally, the web application should have a secure registration and login system for users and healthcare providers, and allow users to cancel or reschedule their appointments if necessary. The web application should also have a feature that sends reminders to users about their upcoming appointments, and the ability for healthcare providers to manage their schedule and communicate with their patients.",ultrachat,chat
Write a function to calculate the geometric sum of n-1.,mbpp,coding
"Using sensory details, describe the rhythmic sound of rustling leaves on a brisk fall day when the wind is blowing at a steady pace. Include the pitch, volume, and resonance of the sound as well as any other details that make it unique.",ultrachat,chat
"A town has ten neighborhoods, each having four roads passing through them. Each of the roads has 250 street lights on each opposite side. Calculate the total number of street lights on all the roads of the neighborhoods in the town.",gsm8k,math
Write a function to count the frequency of consecutive duplicate elements in a given list of numbers.,mbpp,coding
Write a python function to accept the strings which contains all vowels.,mbpp,coding
Write a function to find the lateral surface area of a cone.,mbpp,coding
Write a function to check whether the given month number contains 28 days or not.,mbpp,coding
"

def fizz_buzz(n: int):
    """"""Return the number of times the digit 7 appears in integers less than n which are divisible by 11 or 13.
    >>> fizz_buzz(50)
    0
    >>> fizz_buzz(78)
    2
    >>> fizz_buzz(79)
    3
    """"""
",humaneval,coding
"Describe the necessary components and strategies for designing a LinkedIn thought leadership campaign that effectively promotes a non-profit organization's mission and values to potential donors, stakeholders, and collaborators. Include recommendations for types of content, presentation style, platform engagement, and metrics for measuring success.",ultrachat,chat
"Can you provide a summary of the importance of jobs and population growth in relation to economic growth and real estate transactions?
Generate according to: Getting a bigger piece of pie is always easier when the next pie is even larger than the prior. The same is true when it comes to growing demand for goods, services and real estate. More jobs and, to some extent also population (but not as important as jobs) are key metrics for economic growth. Most important are jobs since they supply the income for the effective purchasing power necessary to realize real estate transactions. To some extent population changes also indicate where growth is taking place and where sustained economic activity is more likely. Population change is a function of natural births and deaths, and also net migration.
The following MSAs were top 10 growing MSAs in the country from July 2010 to July 2017.
To give an idea how massive these growth rates are, the U.S. Total population increased by 5.3 percent from 2010 to 2017, and by just 0.6 percent from 2017 to 2018 – the slowest growth rate recorded in 80 years.
In the top-10 metros is an overwhelming theme, first in destination locations and then technology. That is a blend of the young and old alike – portending stout economies for the future for these locales compared to others.",ultrachat,chat
"
def f(n):
    """""" Implement the function f that takes n as a parameter,
    and returns a list of size n, such that the value of the element at index i is the factorial of i if i is even
    or the sum of numbers from 1 to i otherwise.
    i starts from 1.
    the factorial of i is the multiplication of the numbers from 1 to i (1 * 2 * ... * i).
    Example:
    f(5) == [1, 2, 6, 24, 15]
    """"""
",humaneval,coding
"Today, Elizabeth went to the gas station. Between what times could they have gone?
We know that:
Elizabeth woke up at 5am.
Mark saw Elizabeth buying a bike at the bike shop from 6am to 9am.
Andrew saw Elizabeth waiting at the airport from 9am to 10am.
Susan saw Elizabeth driving to the water park from 10am to 1pm.
Leslie saw Elizabeth waiting at the train station from 1pm to 2pm.
Thomas saw Elizabeth attending class at the school from 2pm to 6pm.
The gas station was closed after 6pm.
Between what times could Elizabeth have gone to the gas station?
Options:
(A) 5am to 6am
(B) 2pm to 6pm
(C) 1pm to 2pm
(D) 6am to 9am",bbh,reasoning
"Tedra is harvesting his tomatoes. He harvests 400 kg on Wednesday, and half as much on Thursday. He harvests a total of 2000 kg on Wednesday, Thursday, and Friday. How many tomatoes of the number he harvested on Friday are remaining if he gives away 700kg of them to his friends?",gsm8k,math
Robin likes to bake cupcakes for friends and to make her puppy North happy. Once Robin ate four cupcakes with chocolate sauce and twice as many cupcakes with buttercream frosting on her own. How many cupcakes did Robin eat?,gsm8k,math
Write a python function to convert a string to a list.,mbpp,coding
"from typing import List


def filter_by_prefix(strings: List[str], prefix: str) -> List[str]:
    """""" Filter an input list of strings only for ones that start with a given prefix.
    >>> filter_by_prefix([], 'a')
    []
    >>> filter_by_prefix(['abc', 'bcd', 'cde', 'array'], 'a')
    ['abc', 'array']
    """"""
",humaneval,coding
"from typing import List


def sort_numbers(numbers: str) -> str:
    """""" Input is a space-delimited string of numberals from 'zero' to 'nine'.
    Valid choices are 'zero', 'one', 'two', 'three', 'four', 'five', 'six', 'seven', 'eight' and 'nine'.
    Return the string with numbers sorted from smallest to largest
    >>> sort_numbers('three one five')
    'one three five'
    """"""
",humaneval,coding
Write a function to create a list taking alternate elements from another given list.,mbpp,coding
"Today, William went to the art studio. Between what times could they have gone?
We know that:
William woke up at 6am.
William saw William working out at the gym from 6am to 7am.
Sean saw William taking photos near the Eiffel Tower from 9am to 12pm.
Susan saw William working at the office from 12pm to 8pm.
Nancy saw William buying a bike at the bike shop from 8pm to 10pm.
The art studio was closed after 10pm.
Between what times could William have gone to the art studio?
Options:
(A) 8pm to 10pm
(B) 9am to 12pm
(C) 6am to 7am
(D) 7am to 9am",bbh,reasoning
"Write a recipe for a vegan, mild coconut curry with chickpeas, served with basmati rice, including instructions for preparing the curry paste from scratch.",ultrachat,chat
Write a function to count number of unique lists within a list.,mbpp,coding
There are 25 different layers of rock in a canyon’s strata. Five of the layers are limestone. Half of the rest are sandstone. Four of the remaining are quartz. Half of the rest are shale. The rest are all different kinds of rock. How many kinds of rock make up only one layer in the canyon’s strata?,gsm8k,math
Write a function to count coin change.,mbpp,coding
Each dandelion produces 300 seeds. 1/3rd of the seeds land in water and die. 1/6 of the starting number are eaten by insects. Half the remainder sprout and are immediately eaten. How many dandelions survive long enough to flower?,gsm8k,math
"Last week, Arman worked 35 hours for 5 days at $10 per hour. This week, he will receive an increase of $0.5 per hour if he can work for 40 hours. Suppose he can work for 40 hours this week, how much will Arman receive for working two weeks?",gsm8k,math
